,filename,algorithm,iterations,solution,time,kp_capacity,item_number,optimal_solution,aborted,result_over_time
0,data/a280_n837_bounded-strongly-corr_01.ttp,DP_numpy,0,123633,0.3728184700012207,74133,837,123633,False,[]
1,data/a280_n837_bounded-strongly-corr_01.ttp,Greedy,0,123578,0.0,74133,837,123633,False,[]
2,data/a280_n837_bounded-strongly-corr_01.ttp,(1+1)-EA zero_init_bin_p_2,4026003,122333,600.000100851059,74133,837,123633,True,"[0, 114732, 116766, 117424, 118328, 119225, 119814, 120409, 120433, 120601, 120631, 121131, 121224, 121333, 121333, 121333, 121333, 121532, 121533, 121625, 121914, 121924, 121927, 122023, 122118, 122126, 122214, 122218, 122233, 122233, 122233, 122233, 122233, 122233, 122233, 122233, 122233, 122233, 122233, 122233, 122233, 122233, 122233, 122333, 122333, 122333, 122333, 122333, 122333, 122333, 122333, 122333, 122333, 122333, 122333, 122333, 122333, 122333, 122333, 122333]"
3,data/a280_n837_bounded-strongly-corr_01.ttp,(1+1)-EA greedy_init_bin_p2,3508120,123633,482.2818171977997,74133,837,123633,False,"[123578, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123627, 123629, 123629, 123629, 123629, 123629, 123632, 123632, 123632, 123632, 123632, 123632]"
4,data/a280_n837_bounded-strongly-corr_01.ttp,(1+1)-EA zero_init_bin_p_6,4045076,122533,600.0000908374786,74133,837,123633,True,"[0, 114601, 117711, 119500, 119824, 120187, 120887, 120932, 120932, 121016, 121109, 121415, 121625, 121625, 121800, 121833, 121932, 121933, 121933, 121933, 121933, 122024, 122132, 122133, 122133, 122156, 122223, 122226, 122226, 122230, 122230, 122230, 122230, 122230, 122230, 122231, 122318, 122318, 122318, 122432, 122432, 122433, 122506, 122521, 122528, 122529, 122529, 122529, 122530, 122530, 122530, 122530, 122533, 122533, 122533, 122533, 122533, 122533, 122533, 122533]"
5,data/a280_n837_bounded-strongly-corr_01.ttp,(1+1)-EA greedy_init_bin_p6,1,123633,3.5762786865234375e-06,74133,837,123633,False,[123633]
