,filename,algorithm,iterations,solution,time,kp_capacity,item_number,optimal_solution,aborted,result_over_time
0,data/a280_n837_bounded-strongly-corr_05.ttp,DP_numpy,0,478165,2.195329427719116,370665,837,478165,False,[]
1,data/a280_n837_bounded-strongly-corr_05.ttp,Greedy,0,477108,0.0,370665,837,478165,False,[]
2,data/a280_n837_bounded-strongly-corr_05.ttp,(1+1)-EA zero_init_bin_p_2,4038191,476765,600.000102519989,370665,837,478165,True,"[0, 469350, 471927, 472893, 473363, 474157, 474356, 474758, 474844, 475057, 475158, 475261, 475363, 475365, 475455, 475539, 475565, 475748, 475964, 475964, 475964, 476059, 476257, 476261, 476264, 476445, 476465, 476465, 476465, 476465, 476465, 476465, 476465, 476562, 476562, 476633, 476662, 476662, 476663, 476665, 476665, 476665, 476665, 476665, 476665, 476665, 476665, 476665, 476665, 476665, 476665, 476665, 476665, 476665, 476755, 476763, 476764, 476765, 476765, 476765]"
3,data/a280_n837_bounded-strongly-corr_05.ttp,(1+1)-EA greedy_init_bin_p2,4287334,477865,600.000009059906,370665,837,478165,True,"[477108, 477853, 477858, 477859, 477863, 477863, 477863, 477863, 477863, 477863, 477863, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865]"
4,data/a280_n837_bounded-strongly-corr_05.ttp,(1+1)-EA zero_init_bin_p_6,4079507,476565,600.0001358985901,370665,837,478165,True,"[0, 469944, 472461, 473458, 474045, 474744, 474964, 475063, 475064, 475065, 475464, 475503, 475564, 475564, 475565, 475754, 475763, 475861, 475965, 475965, 475965, 475965, 475965, 475965, 475965, 475965, 475965, 475965, 475965, 476064, 476064, 476165, 476265, 476265, 476265, 476265, 476265, 476265, 476265, 476461, 476559, 476563, 476565, 476565, 476565, 476565, 476565, 476565, 476565, 476565, 476565, 476565, 476565, 476565, 476565, 476565, 476565, 476565, 476565, 476565]"
5,data/a280_n837_bounded-strongly-corr_05.ttp,(1+1)-EA greedy_init_bin_p6,4380213,477865,600.000027179718,370665,837,478165,True,"[477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865, 477865]"
