,filename,algorithm,iterations,solution,time,kp_capacity,item_number,optimal_solution,aborted,result_over_time
0,data/a280_n1395_uncorr_06.ttp,DP_numpy,0,574768,3.7081992626190186,377340,1395,574768,False,[]
1,data/a280_n1395_uncorr_06.ttp,Greedy,0,574599,0.0,377340,1395,574768,False,[]
2,data/a280_n1395_uncorr_06.ttp,(1+1)-EA zero_init_bin_p_2,3745476,573479,600.0001335144043,377340,1395,574768,True,"[0, 551975, 560827, 563881, 565963, 567073, 567950, 569312, 569403, 569532, 570145, 570450, 570846, 570846, 571074, 571301, 571375, 571452, 571508, 571662, 572076, 572267, 572287, 572347, 572535, 572605, 572752, 572752, 572804, 572804, 572804, 572804, 572804, 572863, 572919, 573007, 573049, 573049, 573203, 573203, 573203, 573203, 573218, 573279, 573312, 573314, 573359, 573359, 573359, 573359, 573359, 573431, 573431, 573431, 573431, 573431, 573431, 573472, 573472, 573479]"
3,data/a280_n1395_uncorr_06.ttp,(1+1)-EA greedy_init_bin_p2,3997900,574700,600.0000882148743,377340,1395,574768,True,"[574599, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700]"
4,data/a280_n1395_uncorr_06.ttp,(1+1)-EA zero_init_bin_p_6,3790159,573392,600.0001130104065,377340,1395,574768,True,"[0, 552933, 561364, 563449, 565333, 566966, 567527, 567719, 568079, 568198, 568414, 569351, 569953, 570386, 570514, 570841, 570841, 571001, 571213, 571272, 571333, 571611, 571611, 571730, 571843, 571978, 571978, 572146, 572146, 572421, 572590, 572606, 572639, 572639, 572842, 572871, 572890, 572895, 572994, 572994, 572994, 572994, 573067, 573120, 573120, 573120, 573226, 573237, 573283, 573285, 573329, 573329, 573329, 573329, 573329, 573329, 573329, 573342, 573342, 573367]"
5,data/a280_n1395_uncorr_06.ttp,(1+1)-EA greedy_init_bin_p6,3996394,574700,600.0001330375671,377340,1395,574768,True,"[574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700, 574700]"
