,filename,algorithm,iterations,solution,time,kp_capacity,item_number,optimal_solution,aborted,result_over_time
0,data/a280_n2790_uncorr_07.ttp,DP_numpy,0,1250551,25.25334668159485,883415,2790,1250551,False,[]
1,data/a280_n2790_uncorr_07.ttp,Greedy,0,1250266,0.0,883415,2790,1250551,False,[]
2,data/a280_n2790_uncorr_07.ttp,(1+1)-EA zero_init_bin_p_2,3133378,1246350,600.0000524520874,883415,2790,1250551,True,"[0, 1183598, 1202107, 1218298, 1222955, 1226294, 1228817, 1230370, 1232233, 1233763, 1235187, 1235910, 1237269, 1238132, 1238553, 1239439, 1239973, 1240383, 1240487, 1240897, 1241048, 1241048, 1241517, 1241776, 1242204, 1242239, 1242401, 1242458, 1242515, 1242849, 1243031, 1243633, 1244054, 1244341, 1244381, 1244485, 1244524, 1245025, 1245053, 1245187, 1245477, 1245477, 1245535, 1245542, 1245570, 1245703, 1245703, 1245754, 1245770, 1245801, 1245929, 1245976, 1246046, 1246046, 1246046, 1246058, 1246058, 1246175, 1246321, 1246321]"
3,data/a280_n2790_uncorr_07.ttp,(1+1)-EA greedy_init_bin_p2,3286043,1250509,600.0002508163452,883415,2790,1250551,True,"[1250266, 1250421, 1250421, 1250423, 1250423, 1250423, 1250423, 1250423, 1250423, 1250423, 1250423, 1250423, 1250423, 1250423, 1250423, 1250423, 1250423, 1250423, 1250423, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509]"
4,data/a280_n2790_uncorr_07.ttp,(1+1)-EA zero_init_bin_p_6,3158906,1246918,600.0000295639038,883415,2790,1250551,True,"[0, 1186054, 1206193, 1215010, 1221474, 1225225, 1227939, 1230045, 1231091, 1232624, 1234663, 1235625, 1236372, 1238046, 1238575, 1239214, 1240265, 1240831, 1241070, 1241578, 1242095, 1242106, 1242523, 1242832, 1242995, 1243116, 1243213, 1243411, 1243420, 1243582, 1243681, 1243782, 1243782, 1243802, 1243848, 1243958, 1243978, 1243978, 1244030, 1244227, 1244411, 1244427, 1244469, 1244550, 1244553, 1244620, 1244846, 1245004, 1245275, 1245275, 1245361, 1245659, 1245939, 1246085, 1246243, 1246366, 1246408, 1246530, 1246619, 1246799]"
5,data/a280_n2790_uncorr_07.ttp,(1+1)-EA greedy_init_bin_p6,3305604,1250513,600.0000269412994,883415,2790,1250551,True,"[1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250509, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513, 1250513]"
