,filename,algorithm,iterations,solution,time,kp_capacity,item_number,optimal_solution,aborted,result_over_time
0,data/a280_n279_uncorr-similar-weights_06.ttp,DP_numpy,0,111651,0.2563304901123047,152869,279,111651,False,[]
1,data/a280_n279_uncorr-similar-weights_06.ttp,Greedy,0,111651,0.0,152869,279,111651,False,[]
2,data/a280_n279_uncorr-similar-weights_06.ttp,(1+1)-EA zero_init_bin_p_2,892505,111651,120.2621259689331,152869,279,111651,False,"[0, 111285, 111547, 111577, 111592, 111596, 111633, 111633, 111633, 111633, 111633, 111644, 111644]"
3,data/a280_n279_uncorr-similar-weights_06.ttp,(1+1)-EA greedy_init_bin_p2,1,111651,4.0531158447265625e-06,152869,279,111651,False,[111651]
4,data/a280_n279_uncorr-similar-weights_06.ttp,(1+1)-EA zero_init_bin_p_6,690409,111651,93.0924379825592,152869,279,111651,False,"[0, 110719, 111264, 111480, 111609, 111609, 111635, 111635, 111637, 111637]"
5,data/a280_n279_uncorr-similar-weights_06.ttp,(1+1)-EA greedy_init_bin_p6,1,111651,4.0531158447265625e-06,152869,279,111651,False,[111651]
