,filename,algorithm,iterations,solution,time,kp_capacity,item_number,optimal_solution,aborted,result_over_time
0,data/a280_n1395_bounded-strongly-corr_03.ttp,DP_numpy,0,501612,3.5975723266601562,362312,1395,501612,False,[]
1,data/a280_n1395_bounded-strongly-corr_03.ttp,Greedy,0,501455,0.0,362312,1395,501612,False,[]
2,data/a280_n1395_bounded-strongly-corr_03.ttp,(1+1)-EA zero_init_bin_p_2,3745717,499011,600.0000157356262,362312,1395,501612,True,"[0, 483597, 488491, 490985, 493010, 493406, 493598, 493609, 494295, 494508, 495098, 495208, 495705, 496200, 496212, 496411, 496411, 496411, 496500, 496707, 496711, 496909, 497007, 497010, 497100, 497412, 497509, 497705, 497711, 497811, 497912, 497912, 497912, 498003, 498007, 498011, 498111, 498193, 498307, 498312, 498312, 498312, 498371, 498412, 498412, 498511, 498511, 498673, 498710, 498712, 498749, 498801, 498909, 498911, 498912, 498912, 499008, 499008, 499008, 499011]"
3,data/a280_n1395_bounded-strongly-corr_03.ttp,(1+1)-EA greedy_init_bin_p2,4012589,501512,600.0000243186951,362312,1395,501612,True,"[501455, 501499, 501499, 501499, 501499, 501500, 501500, 501500, 501500, 501503, 501503, 501503, 501503, 501503, 501503, 501503, 501503, 501503, 501503, 501503, 501503, 501503, 501503, 501508, 501508, 501508, 501508, 501510, 501510, 501510, 501510, 501510, 501510, 501510, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512]"
4,data/a280_n1395_bounded-strongly-corr_03.ttp,(1+1)-EA zero_init_bin_p_6,3762012,498712,600.000082731247,362312,1395,501612,True,"[0, 483192, 486614, 489501, 492409, 493708, 493812, 494658, 495011, 495203, 495409, 495795, 496006, 496312, 496406, 496601, 496793, 496811, 496999, 497104, 497112, 497112, 497352, 497610, 497612, 497612, 497612, 497612, 497612, 497612, 497709, 497709, 497709, 497710, 497763, 498006, 498006, 498007, 498010, 498133, 498398, 498411, 498411, 498411, 498503, 498510, 498510, 498610, 498612, 498612, 498612, 498712, 498712, 498712, 498712, 498712, 498712, 498712, 498712, 498712]"
5,data/a280_n1395_bounded-strongly-corr_03.ttp,(1+1)-EA greedy_init_bin_p6,3999515,501512,600.0000967979431,362312,1395,501612,True,"[501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512, 501512]"
