,filename,algorithm,iterations,solution,time,kp_capacity,item_number,optimal_solution,aborted,result_over_time
0,data/a280_n279_uncorr_05.ttp,DP_numpy,0,100876,0.10732126235961914,63594,279,100876,False,[]
1,data/a280_n279_uncorr_05.ttp,Greedy,0,100834,0.0,63594,279,100876,False,[]
2,data/a280_n279_uncorr_05.ttp,(1+1)-EA zero_init_bin_p_2,4445503,100834,600.0001168251038,63594,279,100876,True,"[0, 99251, 99374, 99956, 100284, 100472, 100472, 100472, 100472, 100472, 100473, 100473, 100541, 100541, 100549, 100571, 100592, 100646, 100646, 100646, 100810, 100810, 100810, 100810, 100810, 100810, 100810, 100810, 100810, 100810, 100827, 100827, 100827, 100827, 100827, 100827, 100827, 100827, 100827, 100827, 100834, 100834, 100834, 100834, 100834, 100834, 100834, 100834, 100834, 100834, 100834, 100834, 100834, 100834, 100834, 100834, 100834, 100834, 100834, 100834]"
3,data/a280_n279_uncorr_05.ttp,(1+1)-EA greedy_init_bin_p2,4733565,100852,600.0000908374786,63594,279,100876,True,"[100834, 100838, 100838, 100838, 100838, 100838, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100845, 100852, 100852, 100852, 100852, 100852, 100852, 100852]"
4,data/a280_n279_uncorr_05.ttp,(1+1)-EA zero_init_bin_p_6,4412315,100776,600.0000894069672,63594,279,100876,True,"[0, 99489, 99857, 100204, 100213, 100285, 100285, 100355, 100355, 100451, 100454, 100454, 100454, 100498, 100498, 100498, 100498, 100532, 100532, 100542, 100542, 100542, 100542, 100542, 100565, 100634, 100651, 100651, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776, 100776]"
5,data/a280_n279_uncorr_05.ttp,(1+1)-EA greedy_init_bin_p6,3105292,100876,396.981956243515,63594,279,100876,False,"[100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852, 100852]"
