,filename,algorithm,iterations,solution,time,kp_capacity,item_number,optimal_solution,aborted,result_over_time
0,data/a280_n2790_uncorr-similar-weights_01.ttp,DP_numpy,0,240273,4.596660852432251,254772,2790,240273,False,[]
1,data/a280_n2790_uncorr-similar-weights_01.ttp,Greedy,0,240268,0.0,254772,2790,240273,False,[]
2,data/a280_n2790_uncorr-similar-weights_01.ttp,(1+1)-EA zero_init_bin_p_2,3143223,239504,600.0001549720764,254772,2790,240273,True,"[0, 194594, 208479, 216331, 221779, 225392, 227851, 229061, 230547, 231942, 232681, 233217, 233817, 234195, 234587, 234948, 235507, 235818, 235881, 236043, 236469, 236584, 236723, 236908, 236933, 237174, 237365, 237447, 237543, 237648, 237755, 237921, 237926, 237938, 238124, 238229, 238446, 238653, 238691, 238763, 238889, 239025, 239028, 239028, 239039, 239113, 239218, 239224, 239273, 239298, 239355, 239391, 239391, 239392, 239413, 239413, 239446, 239484, 239489, 239490]"
3,data/a280_n2790_uncorr-similar-weights_01.ttp,(1+1)-EA greedy_init_bin_p2,3263764,240271,600.0001323223114,254772,2790,240273,True,"[240268, 240268, 240268, 240268, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271]"
4,data/a280_n2790_uncorr-similar-weights_01.ttp,(1+1)-EA zero_init_bin_p_6,3150746,239617,600.000030040741,254772,2790,240273,True,"[0, 196472, 212726, 218170, 223343, 225522, 228401, 229990, 230872, 232059, 232998, 234232, 234966, 235013, 235263, 235604, 236130, 236358, 236642, 237039, 237481, 237556, 237725, 237893, 238137, 238255, 238345, 238452, 238488, 238492, 238555, 238570, 238571, 238618, 238902, 238980, 239099, 239099, 239153, 239164, 239164, 239175, 239243, 239278, 239325, 239374, 239374, 239405, 239417, 239437, 239463, 239465, 239495, 239524, 239572, 239572, 239577, 239577, 239605, 239607]"
5,data/a280_n2790_uncorr-similar-weights_01.ttp,(1+1)-EA greedy_init_bin_p6,3361887,240271,600.000054359436,254772,2790,240273,True,"[240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271, 240271]"
