,filename,algorithm,iterations,solution,time,kp_capacity,item_number,optimal_solution,aborted,result_over_time
0,data/a280_n837_uncorr_08.ttp,DP_numpy,0,378907,1.7019648551940918,302897,837,378907,False,[]
1,data/a280_n837_uncorr_08.ttp,Greedy,0,378657,0.0,302897,837,378907,False,[]
2,data/a280_n837_uncorr_08.ttp,(1+1)-EA zero_init_bin_p_2,4030400,378576,600.0001311302185,302897,837,378907,True,"[0, 372171, 374860, 375740, 376651, 377002, 377361, 377361, 377638, 377713, 377780, 377780, 377804, 377846, 377938, 377950, 378109, 378232, 378232, 378232, 378233, 378233, 378233, 378233, 378278, 378278, 378332, 378332, 378333, 378333, 378368, 378376, 378417, 378417, 378417, 378417, 378417, 378417, 378417, 378472, 378515, 378515, 378515, 378522, 378522, 378522, 378522, 378522, 378522, 378522, 378522, 378522, 378522, 378522, 378522, 378522, 378576, 378576, 378576, 378576]"
3,data/a280_n837_uncorr_08.ttp,(1+1)-EA greedy_init_bin_p2,4265429,378886,600.0000531673431,302897,837,378907,True,"[378657, 378789, 378789, 378789, 378789, 378789, 378789, 378789, 378789, 378789, 378789, 378789, 378789, 378789, 378839, 378839, 378839, 378839, 378839, 378839, 378839, 378839, 378839, 378839, 378839, 378839, 378839, 378839, 378839, 378839, 378839, 378839, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886]"
4,data/a280_n837_uncorr_08.ttp,(1+1)-EA zero_init_bin_p_6,4016615,378657,600.0009441375732,302897,837,378907,True,"[0, 373175, 375032, 375805, 376659, 376801, 377214, 377214, 377377, 377377, 377495, 377694, 377735, 377777, 377956, 378051, 378051, 378097, 378097, 378103, 378134, 378134, 378145, 378197, 378349, 378349, 378360, 378373, 378373, 378373, 378373, 378373, 378378, 378378, 378378, 378378, 378390, 378390, 378499, 378499, 378499, 378516, 378557, 378557, 378557, 378562, 378562, 378575, 378575, 378575, 378575, 378575, 378585, 378616, 378657, 378657, 378657, 378657, 378657, 378657]"
5,data/a280_n837_uncorr_08.ttp,(1+1)-EA greedy_init_bin_p6,4286670,378889,600.0000958442688,302897,837,378907,True,"[378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378886, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889, 378889]"
