,algorithm_name,avg_run_time,comparison_operator,n,repetitions,test_fun,timeouts
91,(1+10)-EA,2127.0,ge,50,10,LeadingOnes,0
92,(1+10)-EA,118822.0,gt,50,10,Jump(3),5
93,(1+10)-EA,24958.0,ge,50,10,Jump(3),0
94,(1+10)-EA,20740.0,gt,50,10,RoyalRoads(5),8
95,(1+10)-EA,2610.0,ge,50,10,RoyalRoads(5),0
96,(1+10)-EA,604.0,gt,50,10,BinVal,0
97,(1+10)-EA,776.0,ge,50,10,BinVal,0
98,RLS,321.0,gt,75,10,OneMax,0
99,RLS,301.9,ge,75,10,OneMax,0
100,RLS,2876.7,gt,75,10,LeadingOnes,0
101,RLS,2783.6,ge,75,10,LeadingOnes,0
102,RLS,69936.4,ge,75,10,Jump(3),0
103,RLS,1902.5,ge,75,10,RoyalRoads(5),0
104,RLS,312.5,gt,75,10,BinVal,0
105,RLS,316.7,ge,75,10,BinVal,0
106,(1+1)-EA,698.6,gt,75,10,OneMax,0
107,(1+1)-EA,599.9,ge,75,10,OneMax,0
108,(1+1)-EA,5218.4,gt,75,10,LeadingOnes,0
109,(1+1)-EA,5041.6,ge,75,10,LeadingOnes,0
110,(1+1)-EA,78248.5,gt,75,10,Jump(3),8
111,(1+1)-EA,82437.66666666667,ge,75,10,Jump(3),4
112,(1+1)-EA,inf,gt,75,10,RoyalRoads(5),10
113,(1+1)-EA,3123.5,ge,75,10,RoyalRoads(5),0
114,(1+1)-EA,703.0,gt,75,10,BinVal,0
115,(1+1)-EA,925.6,ge,75,10,BinVal,0
116,(1+2)-EA,712.2,gt,75,10,OneMax,0
117,(1+2)-EA,690.6,ge,75,10,OneMax,0
118,(1+2)-EA,5134.4,gt,75,10,LeadingOnes,0
119,(1+2)-EA,4663.8,ge,75,10,LeadingOnes,0
120,(1+2)-EA,48736.0,gt,75,10,Jump(3),9
121,(1+2)-EA,59589.75,ge,75,10,Jump(3),2
122,(1+2)-EA,inf,gt,75,10,RoyalRoads(5),10
123,(1+2)-EA,3351.8,ge,75,10,RoyalRoads(5),0
124,(1+2)-EA,656.8,gt,75,10,BinVal,0
125,(1+2)-EA,649.2,ge,75,10,BinVal,0
126,(1+5)-EA,801.0,gt,75,10,OneMax,0
127,(1+5)-EA,803.5,ge,75,10,OneMax,0
128,(1+5)-EA,5057.0,gt,75,10,LeadingOnes,0
129,(1+5)-EA,4869.0,ge,75,10,LeadingOnes,0
130,(1+5)-EA,68627.5,gt,75,10,Jump(3),8
131,(1+5)-EA,86501.5,ge,75,10,Jump(3),0
132,(1+5)-EA,5195.5,ge,75,10,RoyalRoads(5),0
133,(1+5)-EA,906.0,gt,75,10,BinVal,0
134,(1+5)-EA,908.0,ge,75,10,BinVal,0
135,(1+10)-EA,961.0,gt,75,10,OneMax,0
136,(1+10)-EA,808.0,ge,75,10,OneMax,0
137,(1+10)-EA,4324.0,gt,75,10,LeadingOnes,0
138,(1+10)-EA,4825.0,ge,75,10,LeadingOnes,0
139,(1+10)-EA,179880.0,gt,75,10,Jump(3),6
140,(1+10)-EA,62313.0,ge,75,10,Jump(3),0
141,(1+10)-EA,inf,gt,75,10,RoyalRoads(5),10
142,(1+10)-EA,5103.0,ge,75,10,RoyalRoads(5),0
143,(1+10)-EA,1095.0,gt,75,10,BinVal,0
144,(1+10)-EA,1188.0,ge,75,10,BinVal,0
145,RLS,430.1,gt,100,10,OneMax,0
146,RLS,515.7,ge,100,10,OneMax,0
147,RLS,5028.6,gt,100,10,LeadingOnes,0
148,RLS,4929.5,ge,100,10,LeadingOnes,0
149,RLS,127681.66666666667,ge,100,10,Jump(3),4
150,RLS,4344.8,ge,100,10,RoyalRoads(5),0
151,RLS,445.6,gt,100,10,BinVal,0
152,RLS,437.1,ge,100,10,BinVal,0
153,(1+1)-EA,954.5,gt,100,10,OneMax,0
154,(1+1)-EA,973.6,ge,100,10,OneMax,0
155,(1+1)-EA,8149.8,gt,100,10,LeadingOnes,0
156,(1+1)-EA,9454.5,ge,100,10,LeadingOnes,0
157,(1+1)-EA,inf,gt,100,10,Jump(3),10
158,(1+1)-EA,80600.75,ge,100,10,Jump(3),6
159,(1+1)-EA,6701.9,ge,100,10,RoyalRoads(5),0
160,(1+1)-EA,1072.0,gt,100,10,BinVal,0
161,(1+1)-EA,1074.4,ge,100,10,BinVal,0
162,(1+2)-EA,984.4,gt,100,10,OneMax,0
163,(1+2)-EA,1128.0,ge,100,10,OneMax,0
164,(1+2)-EA,8370.4,gt,100,10,LeadingOnes,0
165,(1+2)-EA,7115.6,ge,100,10,LeadingOnes,0
166,(1+2)-EA,inf,gt,100,10,Jump(3),10
167,(1+2)-EA,59286.0,ge,100,10,Jump(3),4
168,(1+2)-EA,8813.8,ge,100,10,RoyalRoads(5),0
169,(1+2)-EA,996.8,gt,100,10,BinVal,0
170,(1+2)-EA,1102.8,ge,100,10,BinVal,0
171,(1+5)-EA,1115.0,gt,100,10,OneMax,0
172,(1+5)-EA,1063.0,ge,100,10,OneMax,0
173,(1+5)-EA,7992.5,gt,100,10,LeadingOnes,0
174,(1+5)-EA,9673.5,ge,100,10,LeadingOnes,0
175,(1+5)-EA,inf,gt,100,10,Jump(3),10
176,(1+5)-EA,88457.0,ge,100,10,Jump(3),0
177,(1+5)-EA,10065.5,ge,100,10,RoyalRoads(5),0
178,(1+5)-EA,1258.5,gt,100,10,BinVal,0
179,(1+5)-EA,1180.0,ge,100,10,BinVal,0
180,(1+10)-EA,1196.0,gt,100,10,OneMax,0
181,(1+10)-EA,1455.0,ge,100,10,OneMax,0
182,(1+10)-EA,10244.0,gt,100,10,LeadingOnes,0
183,(1+10)-EA,8782.0,ge,100,10,LeadingOnes,0
184,(1+10)-EA,16530.0,gt,100,10,Jump(3),9
185,(1+10)-EA,65996.0,ge,100,10,Jump(3),0
186,(1+10)-EA,14109.0,ge,100,10,RoyalRoads(5),0
187,(1+10)-EA,1351.0,gt,100,10,BinVal,0
188,(1+10)-EA,1367.0,ge,100,10,BinVal,0
189,RLS,513.2,gt,125,10,OneMax,0
190,RLS,662.2,ge,125,10,OneMax,0
191,RLS,7545.8,gt,125,10,LeadingOnes,0
192,RLS,7473.8,ge,125,10,LeadingOnes,0
193,RLS,64213.333333333336,ge,125,10,Jump(3),4
194,RLS,7237.0,ge,125,10,RoyalRoads(5),0
195,RLS,574.3,gt,125,10,BinVal,0
196,RLS,538.2,ge,125,10,BinVal,0
197,(1+1)-EA,1460.5,gt,125,10,OneMax,0
198,(1+1)-EA,1637.5,ge,125,10,OneMax,0
199,(1+1)-EA,12747.9,gt,125,10,LeadingOnes,0
200,(1+1)-EA,14162.3,ge,125,10,LeadingOnes,0
201,(1+1)-EA,75851.33333333333,ge,125,10,Jump(3),7
202,(1+1)-EA,12600.5,ge,125,10,RoyalRoads(5),0
203,(1+1)-EA,1572.6,gt,125,10,BinVal,0
204,(1+1)-EA,1569.9,ge,125,10,BinVal,0
205,(1+2)-EA,1402.6,gt,125,10,OneMax,0
206,(1+2)-EA,1482.8,ge,125,10,OneMax,0
207,(1+2)-EA,13524.4,gt,125,10,LeadingOnes,0
208,(1+2)-EA,13964.0,ge,125,10,LeadingOnes,0
209,(1+2)-EA,78936.0,ge,125,10,Jump(3),7
210,(1+2)-EA,16304.6,ge,125,10,RoyalRoads(5),0
211,(1+2)-EA,1698.8,gt,125,10,BinVal,0
212,(1+2)-EA,1585.6,ge,125,10,BinVal,0
213,(1+5)-EA,1627.0,gt,125,10,OneMax,0
214,(1+5)-EA,1300.0,ge,125,10,OneMax,0
215,(1+5)-EA,14326.5,gt,125,10,LeadingOnes,0
216,(1+5)-EA,12251.5,ge,125,10,LeadingOnes,0
217,(1+5)-EA,71766.25,ge,125,10,Jump(3),6
218,(1+5)-EA,20661.5,ge,125,10,RoyalRoads(5),0
219,(1+5)-EA,1715.0,gt,125,10,BinVal,0
220,(1+5)-EA,1368.5,ge,125,10,BinVal,0
221,(1+10)-EA,1634.0,gt,125,10,OneMax,0
222,(1+10)-EA,1582.0,ge,125,10,OneMax,0
223,(1+10)-EA,12207.0,gt,125,10,LeadingOnes,0
224,(1+10)-EA,13834.0,ge,125,10,LeadingOnes,0
225,(1+10)-EA,inf,gt,125,10,Jump(3),10
226,(1+10)-EA,103052.5,ge,125,10,Jump(3),6
227,(1+10)-EA,26511.0,ge,125,10,RoyalRoads(5),0
228,(1+10)-EA,1836.0,gt,125,10,BinVal,0
229,(1+10)-EA,1680.0,ge,125,10,BinVal,0
230,RLS,678.7,gt,150,10,OneMax,0
231,RLS,725.8,ge,150,10,OneMax,0
232,RLS,11685.2,gt,150,10,LeadingOnes,0
233,RLS,11157.2,ge,150,10,LeadingOnes,0
234,RLS,128239.0,ge,150,10,Jump(3),8
235,RLS,13155.875,ge,150,10,RoyalRoads(5),2
236,RLS,722.1,gt,150,10,BinVal,0
237,RLS,719.5,ge,150,10,BinVal,0
238,(1+1)-EA,1634.8,gt,150,10,OneMax,0
239,(1+1)-EA,2004.3,ge,150,10,OneMax,0
240,(1+1)-EA,20211.8,gt,150,10,LeadingOnes,0
241,(1+1)-EA,20797.1,ge,150,10,LeadingOnes,0
242,(1+1)-EA,11128.5,ge,150,10,Jump(3),8
243,(1+1)-EA,23329.8,ge,150,10,RoyalRoads(5),0
244,(1+1)-EA,1793.8,gt,150,10,BinVal,0
245,(1+1)-EA,1666.8,ge,150,10,BinVal,0
246,(1+2)-EA,1776.8,gt,150,10,OneMax,0
247,(1+2)-EA,1513.2,ge,150,10,OneMax,0
248,(1+2)-EA,18763.0,gt,150,10,LeadingOnes,0
249,(1+2)-EA,18870.2,ge,150,10,LeadingOnes,0
250,(1+2)-EA,46453.0,ge,150,10,Jump(3),8
251,(1+2)-EA,22970.6,ge,150,10,RoyalRoads(5),0
252,(1+2)-EA,2005.6,gt,150,10,BinVal,0
253,(1+2)-EA,1712.8,ge,150,10,BinVal,0
254,(1+5)-EA,1850.0,gt,150,10,OneMax,0
255,(1+5)-EA,2165.5,ge,150,10,OneMax,0
256,(1+5)-EA,19877.5,gt,150,10,LeadingOnes,0
257,(1+5)-EA,21999.5,ge,150,10,LeadingOnes,0
258,(1+5)-EA,103948.0,ge,150,10,Jump(3),5
259,(1+5)-EA,32095.0,ge,150,10,RoyalRoads(5),0
